Name,Department,Affiliation,Homepage,Matched Areas
Adam Wierman,California Institute of Technology,California Institute of Technology,http://www.cs.caltech.edu/~adamw,"aaai, ccs, ec, hpca, iclr, icml, nips, nsdi, sigcomm, sigmetrics, wine, www"
Adam Wolisz,TU Berlin,TU Berlin,https://www.tkn.tu-berlin.de/menue/team/wolisz/parameter/de,sosp
Adarshpal S. Sethi,University of Delaware,University of Delaware,https://www.eecis.udel.edu/~sethi,sigcomm
Adel Nadjaran Toosi,University of Melbourne,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/689244-adel-nadjaran-toosi,ijcai
Adel Said Elmaghraby,University of Louisville,University of Louisville,http://louisville.edu/speed/people/faculty/elmaghrabyAdel,hpdc
Adelinde M. Uhrmacher,University of Rostock,University of Rostock,https://mosi.informatik.uni-rostock.de/team/staff/prof-dr-rer-nat-adelinde-m-uhrmacher,imc
Adil Ahmad,Arizona State University,Arizona State University,https://adil-ahmad.net,"asplos, ccs, eurosys, ndss, oakland, osdi, pets, usenixsec"
Adish Singla,Max Planck Society,Max Planck Society,https://people.mpi-sws.org/~adishs,"aaai, ccs, icml, icse, ijcai, kdd, nips, sigcse, sigir, www"
Adithya Kumar Pediredla,Dartmouth College,Dartmouth College,https://sites.google.com/view/adithyapediredla,"cvpr, iccv, icra, siggraph, siggraph-asia"
Aditi Majumder,Univ. of California - Irvine,Univ. of California - Irvine,http://www.ics.uci.edu/~majumder,"cvpr, eccv, eurographics, siggraph, vis, vr"
Aditi Raghunathan,Carnegie Mellon University,Carnegie Mellon University,https://www.cs.cmu.edu/~aditirag,"acl, cvpr, emnlp, iclr, icml, nips"
Aditya Akella,University of Texas at Austin,University of Texas at Austin,http://pages.cs.wisc.edu/~akella,"asplos, ccs, emnlp, eurosys, iclr, icml, imc, micro, mobicom, nips, nsdi, osdi, pldi, popl, sigcomm, sigmetrics, sigmod, sosp, usenixatc, usenixsec, vldb"
Aditya Bhaskara,University of Utah,University of Utah,http://www.cs.utah.edu/~bhaskara,"focs, iclr, icml, nips, soda, stoc, www"
Aditya G. Parameswaran,Univ. of California - Berkeley,Univ. of California - Berkeley,https://cs.illinois.edu/directory/profile/adityagp,"chiconf, eurographics, icde, iclr, kdd, naacl, nips, sigmod, uist, vis, vldb"
Aditya Grover,Univ. of California - Los Angeles,Univ. of California - Los Angeles,https://aditya-grover.github.io,"aaai, cvpr, eccv, iccv, iclr, icml, ijcai, kdd, nips"
Aditya Johri,George Mason University,George Mason University,https://cs.gmu.edu/directory/detail/183,"chiconf, sigcse, vis"
Aditya Shekhar Nittala,University of Calgary,University of Calgary,https://profiles.ucalgary.ca/aditya-shekhar-nittala,"chiconf, uist"
Aditya V. Thakur,Univ. of California - Davis,Univ. of California - Davis,http://thakur.cs.ucdavis.edu,"asplos, cav, fse, nips, oopsla, pldi, popl, usenixsec"
Adji B. Dieng,Princeton University,Princeton University,https://www.cs.princeton.edu/people/profile/ad6725,"iclr, icml, nips"
Adnan Darwiche,Univ. of California - Los Angeles,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~darwiche,"aaai, icml, ijcai, ismb, lics, nips, pods"
Adnan Siraj Rakin,Binghamton University,Binghamton University,https://www.binghamton.edu/computer-science/people/profile.html?id=arakin,"aaai, ccs, cvpr, dac, iccv, oakland, usenixsec"
Adrian Dumitrescu,University of Wisconsin - Milwaukee,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/dumitrescu-ph-d-adrian,"icra, soda"
Adrian P. Lauf,University of Louisville,University of Louisville,http://louisville.edu/speed/people/faculty/laufAdrian,iros
Adrian Paschke,Freie Universitaet Berlin,Freie Universitaet Berlin,https://www.mi.fu-berlin.de/en/inf/groups/ag-csw/Members/members/Paschke.html,iros
Adrian Perrig,ETH Zurich,ETH Zurich,http://www.netsec.ethz.ch/people/aperrig,"asplos, ccs, eurosys, imc, mobicom, mobisys, ndss, nsdi, oakland, pets, sensys, sigcomm, sigmetrics, sosp, usenixatc, usenixsec, vldb, www"
Adrian R. Pearce,University of Melbourne,University of Melbourne,http://people.eng.unimelb.edu.au/adrianrp,"aaai, ijcai, nips"
Adrian Sampson,Cornell University,Cornell University,http://adriansampson.net,"asplos, hpca, iccv, isca, micro, oopsla, pldi"
Adrian Sandu,Virginia Tech,Virginia Tech,http://people.cs.vt.edu/~asandu,sc
Adrian Vetta,McGill University,McGill University,http://www.math.mcgill.ca/vetta,"aaai, ec, focs, nips, soda, stoc, wine"
Adriana Iamnitchi,University of South Florida,University of South Florida,http://www.cse.usf.edu/~anda,"hpdc, mobicom, sc, www"
Adriana Kovashka,University of Pittsburgh,University of Pittsburgh,http://people.cs.pitt.edu/~kovashka,"aaai, acl, cvpr, eccv, emnlp, iccv, nips"
Adriana Schulz,University of Washington,University of Washington,https://homes.cs.washington.edu/~adriana,"chiconf, cvpr, eurographics, icra, iros, oopsla, pldi, siggraph, siggraph-asia, ubicomp, uist"
Adrienne Decker,University at Buffalo,University at Buffalo,https://engineering.buffalo.edu/engineering-education/people/directory/decker-adrienne.html,sigcse
Adrián Jarabo,Universidad de Zaragoza,Universidad de Zaragoza,http://giga.cps.unizar.es/~ajarabo,"eurographics, iccv, siggraph, siggraph-asia"
Aduri Pavan,Iowa State University,Iowa State University,http://www.cs.iastate.edu/people/pavan-aduri,"aaai, icde, iclr, icml, ijcai, nips, pods, stoc, vldb"
Adwait Jog,University of Virginia,University of Virginia,https://engineering.virginia.edu/faculty/adwait-jog,"asplos, dac, hpca, ics, icse, isca, micro, sigmetrics"
Adwait Nadkarni,College of William and Mary,College of William and Mary,https://www.adwaitnadkarni.com,"ccs, ndss, oakland, usenixsec"
Adélaïde Genay,University of Melbourne,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/1051140-adelaide-genay,"chiconf, vr"
Afzel Noore,West Virginia University,West Virginia University,https://www.statler.wvu.edu/faculty-staff/adjunct-faculty/afzel-noore,"cvpr, iccv"
Agata Rozga,Georgia Institute of Technology,Georgia Institute of Technology,http://www.agatarozga.org,"cvpr, eccv, eurographics, ubicomp"
Aggelos K. Katsaggelos,Northwestern University,Northwestern University,http://www.mccormick.northwestern.edu/research-faculty/directory/profiles/katsaggelos-aggelos.html,"cvpr, eccv, nips, ubicomp"
